Iteration	model_type	hyperparameters	percentile	min_threshold	baseline_score	baseline_score_of_current_percentile	accuracy	sem	delta	random_state	num_attr_included	attr_set
0	logistic	{'penalty': 'l1', 'C': 0.15789473692631578}	0.0	0.0	0.8666666666666668	0.8666666666666668	0.9066666666666666	0.022662308949301258	0.039999999999999813	0	5	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_50']
1	logistic	{'penalty': 'l1', 'C': 0.15789473692631578}	0.0		0.8666666666666668	0.8666666666666668	0.9066666666666666	0.022662308949301258	0.039999999999999813	0	5	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_50']
2	logistic	{'penalty': 'l1', 'C': 0.15789473692631578}	0.3	0.0	0.8666666666666668	0.8666666666666668	0.9066666666666666	0.022662308949301258	0.039999999999999813	0	5	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_50']
3	logistic	{'penalty': 'l1', 'C': 0.15789473692631578}	0.3		0.8666666666666668	0.8666666666666668	0.8933333333333333	0.024745619390355647	0.026666666666666505	0	6	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_19', 'noise_50']
4	logistic	{'penalty': 'l1', 'C': 0.15789473692631578}	0.5	0.0	0.8666666666666668	0.8666666666666668	0.8933333333333333	0.024745619390355647	0.026666666666666505	0	6	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_19', 'noise_50']
5	logistic	{'penalty': 'l1', 'C': 0.15789473692631578}	0.5		0.8666666666666668	0.8666666666666668	0.8933333333333333	0.024745619390355647	0.026666666666666505	0	6	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_19', 'noise_50']
6	logistic	{'penalty': 'l1', 'C': 0.21052631586842105}	0.75	0.0	0.8666666666666668	0.8733333333333334	0.9	0.022771001702132435	0.033333333333333215	0	12	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_19', 'noise_29', 'noise_50', 'noise_8', 'noise_95', 'noise_54', 'noise_27', 'noise_91']
7	logistic	{'penalty': 'l1', 'C': 0.21052631586842105}	0.75		0.8666666666666668	0.8733333333333334	0.9	0.022771001702132435	0.033333333333333215	0	12	['petal_length', 'petal_width', 'sepal_width', 'sepal_length', 'noise_19', 'noise_29', 'noise_50', 'noise_27', 'noise_8', 'noise_95', 'noise_54', 'noise_91']
8	logistic	{'C': 1.0, 'penalty': 'l1'}	0.9	0.0	0.8666666666666668	0.9400000000000001	0.9600000000000002	0.014740554623801774	0.09333333333333338	0	2	['petal_width', 'petal_length']
9	logistic	{'C': 1.0, 'penalty': 'l1'}	0.9		0.8666666666666668	0.9400000000000001	0.9600000000000002	0.014740554623801774	0.09333333333333338	0	2	['petal_width', 'petal_length']
10	logistic	{'C': 1.0, 'penalty': 'l1'}	0.95	0.0	0.8666666666666668	0.9333333333333333	0.9600000000000002	0.014740554623801774	0.09333333333333338	0	2	['petal_width', 'petal_length']
11	logistic	{'C': 1.0, 'penalty': 'l1'}	0.96	0.0	0.8666666666666668	0.9333333333333333	0.9600000000000002	0.014740554623801774	0.09333333333333338	0	2	['petal_length', 'petal_width']
12	logistic	{'C': 1.0, 'penalty': 'l1'}	0.97	0.0	0.8666666666666668	0.9400000000000001	0.9600000000000002	0.014740554623801774	0.09333333333333338	0	2	['petal_length', 'petal_width']
13	logistic	{'C': 1.0, 'penalty': 'l1'}	0.98	0.0	0.8666666666666668	0.9600000000000002	0.9400000000000001	0.01845916413981794	0.07333333333333325	0	1	['petal_length']
14	tree	{'min_samples_leaf': 8, 'criterion': 'gini', 'max_features': None}	0.0	0.0	0.9533333333333334	0.9533333333333334	0.9533333333333334	0.01735611039090367	0.0	0	99	['petal_width', 'petal_length', 'sepal_length', 'sepal_width', 'noise_50', 'noise_78', 'noise_91', 'noise_4', 'noise_88', 'noise_35', 'noise_27', 'noise_38', 'noise_42', 'noise_64', 'noise_52', 'noise_39', 'noise_46', 'noise_8', 'noise_29', 'noise_32', 'noise_19', 'noise_12', 'noise_79', 'noise_58', 'noise_2', 'noise_68', 'noise_82', 'noise_23', 'noise_83', 'noise_34', 'noise_81', 'noise_0', 'noise_21', 'noise_85', 'noise_20', 'noise_77', 'noise_54', 'noise_84', 'noise_59', 'noise_33', 'noise_72', 'noise_13', 'noise_89', 'noise_95', 'noise_62', 'noise_15', 'noise_67', 'noise_17', 'noise_56', 'noise_11', 'noise_57', 'noise_43', 'noise_51', 'noise_69', 'noise_5', 'noise_70', 'noise_71', 'noise_45', 'noise_6', 'noise_60', 'noise_7', 'noise_25', 'noise_10', 'noise_93', 'noise_41', 'noise_92', 'noise_40', 'noise_44', 'noise_18', 'noise_73', 'noise_37', 'noise_94', 'noise_14', 'noise_55', 'noise_47', 'noise_87', 'noise_63', 'noise_31', 'noise_28', 'noise_74', 'noise_61', 'noise_75', 'noise_90', 'noise_65', 'noise_86', 'noise_16', 'noise_80', 'noise_53', 'noise_36', 'noise_22', 'noise_66', 'noise_49', 'noise_3', 'noise_24', 'noise_76', 'noise_1', 'noise_9', 'noise_26', 'noise_48']
15	tree	{'min_samples_leaf': 8, 'criterion': 'gini', 'max_features': None}	0.3	0.0	0.9533333333333334	0.9533333333333334	0.9533333333333334	0.01735611039090367	0.0	0	69	['petal_width', 'petal_length', 'sepal_length', 'sepal_width', 'noise_50', 'noise_91', 'noise_78', 'noise_23', 'noise_68', 'noise_79', 'noise_38', 'noise_35', 'noise_42', 'noise_8', 'noise_12', 'noise_4', 'noise_52', 'noise_29', 'noise_83', 'noise_81', 'noise_19', 'noise_27', 'noise_20', 'noise_84', 'noise_0', 'noise_39', 'noise_34', 'noise_64', 'noise_88', 'noise_56', 'noise_2', 'noise_72', 'noise_77', 'noise_93', 'noise_58', 'noise_45', 'noise_85', 'noise_6', 'noise_7', 'noise_11', 'noise_59', 'noise_71', 'noise_57', 'noise_13', 'noise_82', 'noise_21', 'noise_32', 'noise_25', 'noise_70', 'noise_62', 'noise_33', 'noise_95', 'noise_40', 'noise_54', 'noise_67', 'noise_15', 'noise_41', 'noise_89', 'noise_5', 'noise_69', 'noise_18', 'noise_43', 'noise_17', 'noise_46', 'noise_10', 'noise_60', 'noise_51', 'noise_92', 'noise_44']
16	tree	{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 8}	0.5	0.0	0.9533333333333334	0.9533333333333334	0.9533333333333334	0.01735611039090367	0.0	0	49	['petal_width', 'petal_length', 'sepal_length', 'sepal_width', 'noise_50', 'noise_91', 'noise_68', 'noise_78', 'noise_29', 'noise_4', 'noise_8', 'noise_39', 'noise_35', 'noise_85', 'noise_23', 'noise_52', 'noise_56', 'noise_27', 'noise_88', 'noise_84', 'noise_62', 'noise_72', 'noise_12', 'noise_81', 'noise_42', 'noise_64', 'noise_20', 'noise_19', 'noise_83', 'noise_59', 'noise_0', 'noise_79', 'noise_58', 'noise_93', 'noise_38', 'noise_32', 'noise_2', 'noise_21', 'noise_13', 'noise_57', 'noise_77', 'noise_70', 'noise_82', 'noise_34', 'noise_45', 'noise_25', 'noise_6', 'noise_11', 'noise_7']
